# ell   TT    EE     BB    TE    PP    TP    EP
   107   3.7164660e+03   1.1119096e+00   0.0000000e+00  -3.5430905e+01   9.6300153e-08   1.2575741e-10  -3.0219261e-13
   108   3.7579594e+03   1.1288496e+00   0.0000000e+00  -3.6264783e+01   9.5705855e-08   1.2437564e-10  -2.9654548e-13
   109   3.7996765e+03   1.1454681e+00   0.0000000e+00  -3.7094340e+01   9.5115505e-08   1.2301336e-10  -2.9132573e-13
   110   3.8415977e+03   1.1617366e+00   0.0000000e+00  -3.7919029e+01   9.4529119e-08   1.2166805e-10  -2.8674755e-13
   111   3.8837130e+03   1.1776462e+00   0.0000000e+00  -3.8738195e+01   9.3946790e-08   1.2033764e-10  -2.8298040e-13
   112   3.9260216e+03   1.1931875e+00   0.0000000e+00  -3.9550859e+01   9.3368499e-08   1.1902193e-10  -2.8001519e-13
   113   3.9685122e+03   1.2083312e+00   0.0000000e+00  -4.0356534e+01   9.2794250e-08   1.1772111e-10  -2.7779814e-13
   114   4.0111738e+03   1.2230579e+00   0.0000000e+00  -4.1154336e+01   9.2224046e-08   1.1643541e-10  -2.7627557e-13
   115   4.0539951e+03   1.2373681e+00   0.0000000e+00  -4.1943577e+01   9.1657878e-08   1.1516502e-10  -2.7539370e-13
   116   4.0969750e+03   1.2512424e+00   0.0000000e+00  -4.2723573e+01   9.1095762e-08   1.1391016e-10  -2.7509893e-13
   117   4.1401023e+03   1.2646513e+00   0.0000000e+00  -4.3493537e+01   9.0537668e-08   1.1267105e-10  -2.7533760e-13
   118   4.1833558e+03   1.2775954e+00   0.0000000e+00  -4.4252683e+01   8.9983580e-08   1.1144789e-10  -2.7605613e-13
   119   4.2267344e+03   1.2900554e+00   0.0000000e+00  -4.5000427e+01   8.9433543e-08   1.1024090e-10  -2.7720093e-13
   120   4.2702268e+03   1.3020217e+00   0.0000000e+00  -4.5735982e+01   8.8887519e-08   1.0905029e-10  -2.7871847e-13
   121   4.3138219e+03   1.3134749e+00   0.0000000e+00  -4.6458562e+01   8.8345514e-08   1.0787627e-10  -2.8055523e-13
   122   4.3574985e+03   1.3244057e+00   0.0000000e+00  -4.7167581e+01   8.7807552e-08   1.0671909e-10  -2.8265778e-13
   123   4.4012554e+03   1.3348045e+00   0.0000000e+00  -4.7862254e+01   8.7273596e-08   1.0557894e-10  -2.8497257e-13
   124   4.4450815e+03   1.3446520e+00   0.0000000e+00  -4.8541795e+01   8.6743681e-08   1.0445602e-10  -2.8744617e-13
   125   4.4889556e+03   1.3539487e+00   0.0000000e+00  -4.9205618e+01   8.6217783e-08   1.0335058e-10  -2.9002525e-13
   126   4.5328766e+03   1.3626751e+00   0.0000000e+00  -4.9853037e+01   8.5695895e-08   1.0226280e-10  -2.9265628e-13
   127   4.5768231e+03   1.3708320e+00   0.0000000e+00  -5.0483266e+01   8.5178052e-08   1.0119294e-10  -2.9528600e-13
   128   4.6207842e+03   1.3783997e+00   0.0000000e+00  -5.1095720e+01   8.4664231e-08   1.0014118e-10  -2.9786098e-13
   129   4.6647585e+03   1.3853790e+00   0.0000000e+00  -5.1689713e+01   8.4154436e-08   9.9107762e-11  -3.0032791e-13
   130   4.7087249e+03   1.3917503e+00   0.0000000e+00  -5.2264459e+01   8.3648672e-08   9.8092894e-11  -3.0263348e-13
   131   4.7526629e+03   1.3975143e+00   0.0000000e+00  -5.2819378e+01   8.3146930e-08   9.7096654e-11  -3.0473504e-13
   132   4.7965842e+03   1.4026711e+00   0.0000000e+00  -5.3353815e+01   8.2649190e-08   9.6118588e-11  -3.0663273e-13
   133   4.8404613e+03   1.4072010e+00   0.0000000e+00  -5.3867219e+01   8.2155427e-08   9.5158114e-11  -3.0833739e-13
   134   4.8842966e+03   1.4111244e+00   0.0000000e+00  -5.4358842e+01   8.1665625e-08   9.4214632e-11  -3.0985982e-13
   135   4.9280724e+03   1.4144115e+00   0.0000000e+00  -5.4828333e+01   8.1179723e-08   9.3287529e-11  -3.1121073e-13
   136   4.9717913e+03   1.4170724e+00   0.0000000e+00  -5.5274844e+01   8.0697723e-08   9.2376238e-11  -3.1240101e-13
   137   5.0154357e+03   1.4190975e+00   0.0000000e+00  -5.5697824e+01   8.0219582e-08   9.1480169e-11  -3.1344144e-13
   138   5.0589979e+03   1.4204971e+00   0.0000000e+00  -5.6096823e+01   7.9745267e-08   9.0598702e-11  -3.1434272e-13
   139   5.1024603e+03   1.4212613e+00   0.0000000e+00  -5.6471293e+01   7.9274781e-08   8.9731290e-11  -3.1511578e-13
   140   5.1458354e+03   1.4213905e+00   0.0000000e+00  -5.6820683e+01   7.8808071e-08   8.8877303e-11  -3.1577124e-13
   141   5.1890957e+03   1.4209048e+00   0.0000000e+00  -5.7144544e+01   7.8345115e-08   8.8036164e-11  -3.1631994e-13
   142   5.2322334e+03   1.4197846e+00   0.0000000e+00  -5.7442226e+01   7.7885887e-08   8.7207285e-11  -3.1677263e-13
   143   5.2752511e+03   1.4180401e+00   0.0000000e+00  -5.7713380e+01   7.7430363e-08   8.6390090e-11  -3.1714014e-13
   144   5.3181211e+03   1.4156815e+00   0.0000000e+00  -5.7957456e+01   7.6978511e-08   8.5583960e-11  -3.1743312e-13
   145   5.3608458e+03   1.4126992e+00   0.0000000e+00  -5.8173804e+01   7.6530307e-08   8.4788320e-11  -3.1766236e-13
   146   5.4033878e+03   1.4091133e+00   0.0000000e+00  -5.8362175e+01   7.6085745e-08   8.4002603e-11  -3.1783870e-13
   147   5.4457393e+03   1.4049341e+00   0.0000000e+00  -5.8521819e+01   7.5644765e-08   8.3226203e-11  -3.1797282e-13
   148   5.4878829e+03   1.4001619e+00   0.0000000e+00  -5.8652387e+01   7.5207379e-08   8.2458534e-11  -3.1807549e-13
   149   5.5298008e+03   1.3948070e+00   0.0000000e+00  -5.8753328e+01   7.4773520e-08   8.1699002e-11  -3.1815740e-13
   150   5.5714756e+03   1.3888795e+00   0.0000000e+00  -5.8824093e+01   7.4343199e-08   8.0947039e-11  -3.1822939e-13
   151   5.6128793e+03   1.3823895e+00   0.0000000e+00  -5.8864328e+01   7.3916376e-08   8.0202148e-11  -3.1829813e-13
   152   5.6540227e+03   1.3753458e+00   0.0000000e+00  -5.8873654e+01   7.3493010e-08   7.9464267e-11  -3.1835439e-13
   153   5.6948862e+03   1.3677669e+00   0.0000000e+00  -5.8851689e+01   7.3073116e-08   7.8733476e-11  -3.1838510e-13
   154   5.7354701e+03   1.3596715e+00   0.0000000e+00  -5.8798250e+01   7.2656627e-08   7.8009790e-11  -3.1837694e-13
   155   5.7757649e+03   1.3510581e+00   0.0000000e+00  -5.8712854e+01   7.2243558e-08   7.7293301e-11  -3.1831687e-13
   156   5.8157810e+03   1.3419552e+00   0.0000000e+00  -5.8595318e+01   7.1833868e-08   7.6584034e-11  -3.1819161e-13
   157   5.8554888e+03   1.3323615e+00   0.0000000e+00  -5.8445259e+01   7.1427537e-08   7.5882050e-11  -3.1798804e-13
   158   5.8948987e+03   1.3223154e+00   0.0000000e+00  -5.8262396e+01   7.1024526e-08   7.5187385e-11  -3.1769290e-13
   159   5.9339911e+03   1.3118157e+00   0.0000000e+00  -5.8046443e+01   7.0624856e-08   7.4500128e-11  -3.1729319e-13
