# ell     TT     EE      BB      TE
   140  5.1477416e+03  1.4275636e+00  7.9895575e-03 -5.6686609e+01
   141  5.1909211e+03  1.4272111e+00  8.1112194e-03 -5.7006582e+01
   142  5.2339753e+03  1.4262287e+00  8.2340501e-03 -5.7300358e+01
   143  5.2769066e+03  1.4246269e+00  8.3580582e-03 -5.7567590e+01
   144  5.3196873e+03  1.4224161e+00  8.4832523e-03 -5.7807733e+01
   145  5.3623199e+03  1.4195866e+00  8.6096407e-03 -5.8020139e+01
   146  5.4047668e+03  1.4161588e+00  8.7372317e-03 -5.8204565e+01
   147  5.4470204e+03  1.4121432e+00  8.8660332e-03 -5.8360262e+01
   148  5.4890631e+03  1.4075402e+00  8.9960530e-03 -5.8486887e+01
   149  5.5308772e+03  1.4023602e+00  9.1272985e-03 -5.8583893e+01
   150  5.5724452e+03  1.3966135e+00  9.2597768e-03 -5.8650734e+01
   151  5.6137391e+03  1.3903103e+00  9.3934947e-03 -5.8687059e+01
   152  5.6547698e+03  1.3834595e+00  9.5284586e-03 -5.8692496e+01
   153  5.6955175e+03  1.3760799e+00  9.6646746e-03 -5.8666665e+01
   154  5.7359827e+03  1.3681902e+00  9.8021483e-03 -5.8609389e+01
   155  5.7761558e+03  1.3597891e+00  9.9408847e-03 -5.8520188e+01
   156  5.8160472e+03  1.3509052e+00  1.0080889e-02 -5.8398885e+01
   157  5.8556274e+03  1.3415373e+00  1.0222165e-02 -5.8245101e+01
   158  5.8949067e+03  1.3317241e+00  1.0364716e-02 -5.8058558e+01
   159  5.9338655e+03  1.3214642e+00  1.0508545e-02 -5.7838977e+01
   160  5.9724943e+03  1.3107863e+00  1.0653656e-02 -5.7586181e+01
   161  6.0107636e+03  1.2997091e+00  1.0800051e-02 -5.7299791e+01
   162  6.0486637e+03  1.2882513e+00  1.0947730e-02 -5.6979730e+01
   163  6.0861851e+03  1.2764515e+00  1.1096695e-02 -5.6625520e+01
   164  6.1232982e+03  1.2643084e+00  1.1246945e-02 -5.6237181e+01
   165  6.1600036e+03  1.2518507e+00  1.1398482e-02 -5.5814338e+01
   166  6.1962815e+03  1.2391071e+00  1.1551303e-02 -5.5356911e+01
   167  6.2321225e+03  1.2261061e+00  1.1705408e-02 -5.4864723e+01
   168  6.2675170e+03  1.2128764e+00  1.1860795e-02 -5.4337896e+01
   169  6.3024556e+03  1.1994467e+00  1.2017460e-02 -5.3776252e+01
   170  6.3369286e+03  1.1858356e+00  1.2175400e-02 -5.3179714e+01
   171  6.3709165e+03  1.1720817e+00  1.2334613e-02 -5.2548203e+01
   172  6.4044299e+03  1.1582136e+00  1.2495093e-02 -5.1881743e+01
   173  6.4374391e+03  1.1442599e+00  1.2656835e-02 -5.1180255e+01
   174  6.4699346e+03  1.1302493e+00  1.2819834e-02 -5.0443761e+01
   175  6.5019171e+03  1.1162303e+00  1.2984084e-02 -4.9672484e+01
   176  6.5333669e+03  1.1022214e+00  1.3149579e-02 -4.8866342e+01
   177  6.5642749e+03  1.0882702e+00  1.3316311e-02 -4.8025333e+01
   178  6.5946221e+03  1.0744042e+00  1.3484273e-02 -4.7149552e+01
   179  6.6244093e+03  1.0606508e+00  1.3653458e-02 -4.6238993e+01
   180  6.6536275e+03  1.0470576e+00  1.3823855e-02 -4.5293850e+01
   181  6.6822575e+03  1.0336620e+00  1.3995458e-02 -4.4314318e+01
   182  6.7103003e+03  1.0205015e+00  1.4168256e-02 -4.3300491e+01
   183  6.7377468e+03  1.0076035e+00  1.4342240e-02 -4.2252563e+01
   184  6.7645779e+03  9.9501545e-01  1.4517400e-02 -4.1170828e+01
   185  6.7907945e+03  9.8278473e-01  1.4693725e-02 -4.0055181e+01
   186  6.8163775e+03  9.7093877e-01  1.4871206e-02 -3.8906115e+01
   187  6.8413279e+03  9.5951599e-01  1.5049831e-02 -3.7723725e+01
   188  6.8656365e+03  9.4856776e-01  1.5229588e-02 -3.6508405e+01
   189  6.8892844e+03  9.3813346e-01  1.5410467e-02 -3.5260349e+01
   190  6.9122724e+03  9.2825647e-01  1.5592455e-02 -3.3979950e+01
   191  6.9345914e+03  9.1897714e-01  1.5775541e-02 -3.2667603e+01
   192  6.9562223e+03  9.1033981e-01  1.5959712e-02 -3.1323402e+01
   193  6.9771562e+03  9.0238682e-01  1.6144957e-02 -2.9947739e+01
   194  6.9974039e+03  8.9516348e-01  1.6331261e-02 -2.8541210e+01
   195  7.0169463e+03  8.8871511e-01  1.6518613e-02 -2.7104106e+01
   196  7.0357843e+03  8.8308701e-01  1.6706999e-02 -2.5637023e+01
   197  7.0539189e+03  8.7832645e-01  1.6896406e-02 -2.4140354e+01
   198  7.0713510e+03  8.7447872e-01  1.7086821e-02 -2.2614591e+01
   199  7.0880515e+03  8.7158907e-01  1.7278229e-02 -2.1060128e+01
   200  7.1040413e+03  8.6970275e-01  1.7470618e-02 -1.9477659e+01
   201  7.1193012e+03  8.6886793e-01  1.7663974e-02 -1.7867470e+01
   202  7.1338213e+03  8.6912956e-01  1.7858281e-02 -1.6230324e+01
   203  7.1475714e+03  8.7053449e-01  1.8053526e-02 -1.4566476e+01
   204  7.1605615e+03  8.7312857e-01  1.8249694e-02 -1.2876583e+01
   205  7.1727515e+03  8.7695864e-01  1.8446770e-02 -1.1161202e+01
   206  7.1841512e+03  8.8206953e-01  1.8644740e-02 -9.4207865e+00
   207  7.1947406e+03  8.8850904e-01  1.8843587e-02 -7.6558038e+00
   208  7.2045097e+03  8.9632297e-01  1.9043298e-02 -5.8670191e+00
   209  7.2134982e+03  9.0555611e-01  1.9243854e-02 -4.0551078e+00
   210  7.2216862e+03  9.1625623e-01  1.9445242e-02 -2.2207750e+00
   211  7.2290834e+03  9.2847010e-01  1.9647444e-02 -3.6471396e-01
   212  7.2357098e+03  9.4224144e-01  1.9850443e-02  1.5123645e+00
   213  7.2415654e+03  9.5761801e-01  2.0054223e-02  3.4097615e+00
   214  7.2466600e+03  9.7464652e-01  2.0258767e-02  5.3267706e+00
   215  7.2509935e+03  9.9336368e-01  2.0464056e-02  7.2626473e+00
   216  7.2545458e+03  1.0138272e+00  2.0670073e-02  9.2166373e+00
   217  7.2573169e+03  1.0360737e+00  2.0876799e-02  1.1187957e+01
   218  7.2593066e+03  1.0601399e+00  2.1084216e-02  1.3175972e+01
   219  7.2605048e+03  1.0860825e+00  2.1292304e-02  1.5179808e+01
   220  7.2609015e+03  1.1139381e+00  2.1501044e-02  1.7198813e+01
   221  7.2605065e+03  1.1437434e+00  2.1710416e-02  1.9232034e+01
   222  7.2592998e+03  1.1755549e+00  2.1920399e-02  2.1278916e+01
   223  7.2572912e+03  1.2093992e+00  2.2130972e-02  2.3338407e+01
   224  7.2544907e+03  1.2453231e+00  2.2342114e-02  2.5409856e+01
   225  7.2508982e+03  1.2833530e+00  2.2553804e-02  2.7492208e+01
   226  7.2465036e+03  1.3235456e+00  2.2766018e-02  2.9584813e+01
   227  7.2413168e+03  1.3659373e+00  2.2978735e-02  3.1686717e+01
   228  7.2353377e+03  1.4105549e+00  2.3191931e-02  3.3797071e+01
   229  7.2285763e+03  1.4574447e+00  2.3405583e-02  3.5915021e+01
   230  7.2210224e+03  1.5066434e+00  2.3619666e-02  3.8039717e+01
   231  7.2126861e+03  1.5581675e+00  2.3834157e-02  4.0170207e+01
   232  7.2035770e+03  1.6120634e+00  2.4049030e-02  4.2305642e+01
   233  7.1936854e+03  1.6683678e+00  2.4264261e-02  4.4445070e+01
   234  7.1830109e+03  1.7271071e+00  2.4479824e-02  4.6587542e+01
   235  7.1715736e+03  1.7883178e+00  2.4695693e-02  4.8732306e+01
   236  7.1593534e+03  1.8520364e+00  2.4911841e-02  5.0878314e+01
   237  7.1463802e+03  1.9182693e+00  2.5128244e-02  5.3024615e+01
   238  7.1326439e+03  1.9870531e+00  2.5344873e-02  5.5170361e+01
   239  7.1181544e+03  2.0584041e+00  2.5561702e-02  5.7314603e+01
   240  7.1029118e+03  2.1323690e+00  2.5778705e-02  5.9456191e+01
   241  7.0869158e+03  2.2089640e+00  2.5995852e-02  6.1594477e+01
   242  7.0701865e+03  2.2882057e+00  2.6213118e-02  6.3728313e+01
   243  7.0527237e+03  2.3701205e+00  2.6430474e-02  6.5856750e+01
   244  7.0345273e+03  2.4547248e+00  2.6647893e-02  6.7979041e+01
   245  7.0156174e+03  2.5420451e+00  2.6865348e-02  7.0094138e+01
   246  6.9960038e+03  2.6320777e+00  2.7082810e-02  7.2201194e+01
   247  6.9756764e+03  2.7248592e+00  2.7300253e-02  7.4299262e+01
   248  6.9546651e+03  2.8204060e+00  2.7517648e-02  7.6387294e+01
   249  6.9329599e+03  2.9187145e+00  2.7734969e-02  7.8464545e+01
   250  6.9105807e+03  3.0198210e+00  2.7952188e-02  8.0529967e+01
   251  6.8875172e+03  3.1237027e+00  2.8169279e-02  8.2582416e+01
   252  6.8637793e+03  3.2303893e+00  2.8386214e-02  8.4621050e+01
   253  6.8393664e+03  3.3398811e+00  2.8602968e-02  8.6644830e+01
   254  6.8142982e+03  3.4521985e+00  2.8819515e-02  8.8652616e+01
   255  6.7885542e+03  3.5673318e+00  2.9035828e-02  9.0643569e+01
   256  6.7621541e+03  3.6853013e+00  2.9251882e-02  9.2616650e+01
   257  6.7351073e+03  3.8061076e+00  2.9467653e-02  9.4571121e+01
   258  6.7074334e+03  3.9297407e+00  2.9683115e-02  9.6505641e+01
   259  6.6791421e+03  4.0562213e+00  2.9898246e-02  9.8420874e+01
   260  6.6502629e+03  4.1855396e+00  3.0113021e-02  1.0031388e+02
   261  6.6207953e+03  4.3176960e+00  3.0327418e-02  1.0218572e+02
   262  6.5907689e+03  4.4526908e+00  3.0541415e-02  1.0403446e+02
   263  6.5601933e+03  4.5905246e+00  3.0754988e-02  1.0586016e+02
   264  6.5290779e+03  4.7311876e+00  3.0968118e-02  1.0766088e+02
   265  6.4974224e+03  4.8746602e+00  3.1180784e-02  1.0943769e+02
   266  6.4652362e+03  5.0209330e+00  3.1392965e-02  1.1118765e+02
   267  6.4325388e+03  5.1699863e+00  3.1604642e-02  1.1290981e+02
   268  6.3993299e+03  5.3218105e+00  3.1815796e-02  1.1460526e+02
   269  6.3656089e+03  5.4763961e+00  3.2026409e-02  1.1627104e+02
   270  6.3313853e+03  5.6337135e+00  3.2236464e-02  1.1790822e+02
   271  6.2966886e+03  5.7937532e+00  3.2445944e-02  1.1951386e+02
   272  6.2615083e+03  5.9564957e+00  3.2654832e-02  1.2108904e+02
   273  6.2258840e+03  6.1218915e+00  3.2863113e-02  1.2263180e+02
   274  6.1898051e+03  6.2899411e+00  3.3070771e-02  1.2414323e+02
   275  6.1532910e+03  6.4606050e+00  3.3277792e-02  1.2562037e+02
   276  6.1163713e+03  6.6338637e+00  3.3484163e-02  1.2706430e+02
   277  6.0790455e+03  6.8096878e+00  3.3689869e-02  1.2847308e+02
   278  6.0413229e+03  6.9880479e+00  3.3894899e-02  1.2984578e+02
   279  6.0032232e+03  7.1688946e+00  3.4099239e-02  1.3118345e+02
   280  5.9647656e+03  7.3521884e+00  3.4302879e-02  1.3248417e+02
   281  5.9259498e+03  7.5379100e+00  3.4505807e-02  1.3374800e+02
   282  5.8867951e+03  7.7260000e+00  3.4708012e-02  1.3497400e+02
   283  5.8473210e+03  7.9164292e+00  3.4909485e-02  1.3616124e+02
   284  5.8075269e+03  8.1091581e+00  3.5110215e-02  1.3730879e+02
   285  5.7674324e+03  8.3041375e+00  3.5310193e-02  1.3841670e+02
   286  5.7270467e+03  8.5013282e+00  3.5509411e-02  1.3948506e+02
   287  5.6863994e+03  8.7006608e+00  3.5707860e-02  1.4051291e+02
   288  5.6454899e+03  8.9021061e+00  3.5905532e-02  1.4149833e+02
   289  5.6043276e+03  9.1056050e+00  3.6102420e-02  1.4244338e+02
   290  5.5629420e+03  9.3111083e+00  3.6298515e-02  1.4334513e+02
   291  5.5213425e+03  9.5185868e+00  3.6493813e-02  1.4420465e+02
   292  5.4795284e+03  9.7278614e+00  3.6688305e-02  1.4502099e+02
   293  5.4375194e+03  9.9390330e+00  3.6881985e-02  1.4579423e+02
   294  5.3953346e+03  1.0152002e+01  3.7074849e-02  1.4652243e+02
   295  5.3529736e+03  1.0366571e+01  3.7266890e-02  1.4720666e+02
   296  5.3104559e+03  1.0582839e+01  3.7458103e-02  1.4784598e+02
   297  5.2677807e+03  1.0800608e+01  3.7648483e-02  1.4843846e+02
   298  5.2249776e+03  1.1019879e+01  3.7838026e-02  1.4898516e+02
   299  5.1820559e+03  1.1240553e+01  3.8026728e-02  1.4948616e+02
   300  5.1390251e+03  1.1462531e+01  3.8214585e-02  1.4994051e+02
   301  5.0959044e+03  1.1685915e+01  3.8401594e-02  1.5034828e+02
   302  5.0527132e+03  1.1910410e+01  3.8587751e-02  1.5070947e+02
   303  5.0094604e+03  1.2136123e+01  3.8773053e-02  1.5102410e+02
   304  4.9661651e+03  1.2362960e+01  3.8957499e-02  1.5129216e+02
   305  4.9228465e+03  1.2590826e+01  3.9141086e-02  1.5151267e+02
   306  4.8795035e+03  1.2819729e+01  3.9323812e-02  1.5168563e+02
   307  4.8361653e+03  1.3049474e+01  3.9505678e-02  1.5181105e+02
   308  4.7928409e+03  1.3280068e+01  3.9686681e-02  1.5188892e+02
   309  4.7495395e+03  1.3511417e+01  3.9866823e-02  1.5191925e+02
   310  4.7062601e+03  1.3743327e+01  4.0046103e-02  1.5190206e+02
   311  4.6630417e+03  1.3975906e+01  4.0224521e-02  1.5183534e+02
   312  4.6198735e+03  1.4208959e+01  4.0402081e-02  1.5172109e+02
   313  4.5767846e+03  1.4442493e+01  4.0578782e-02  1.5155833e+02
   314  4.5337839e+03  1.4676314e+01  4.0754629e-02  1.5134705e+02
   315  4.4908706e+03  1.4910330e+01  4.0929623e-02  1.5108727e+02
   316  4.4480737e+03  1.5144646e+01  4.1103770e-02  1.5077898e+02
   317  4.4054022e+03  1.5378970e+01  4.1277073e-02  1.5042319e+02
   318  4.3628753e+03  1.5613307e+01  4.1449537e-02  1.5001890e+02
   319  4.3204920e+03  1.5847565e+01  4.1621169e-02  1.4956611e+02
   320  4.2782614e+03  1.6081750e+01  4.1791975e-02  1.4906584e+02
   321  4.2362224e+03  1.6315670e+01  4.1961961e-02  1.4851808e+02
   322  4.1943542e+03  1.6549231e+01  4.2131137e-02  1.4792183e+02
   323  4.1526958e+03  1.6782339e+01  4.2299511e-02  1.4727810e+02
   324  4.1112362e+03  1.7014902e+01  4.2467093e-02  1.4658789e+02
   325  4.0700045e+03  1.7246927e+01  4.2633893e-02  1.4585020e+02
   326  4.0289996e+03  1.7478321e+01  4.2799922e-02  1.4506603e+02
   327  3.9882407e+03  1.7708890e+01  4.2965192e-02  1.4423439e+02
   328  3.9477368e+03  1.7938542e+01  4.3129716e-02  1.4335628e+02
   329  3.9074968e+03  1.8167284e+01  4.3293509e-02  1.4243370e+02
   330  3.8675398e+03  1.8394922e+01  4.3456583e-02  1.4146464e+02
   331  3.8278648e+03  1.8621464e+01  4.3618955e-02  1.4045012e+02
   332  3.7884908e+03  1.8846818e+01  4.3780641e-02  1.3939012e+02
   333  3.7494168e+03  1.9070790e+01  4.3941658e-02  1.3828666e+02
   334  3.7106619e+03  1.9293388e+01  4.4102023e-02  1.3713872e+02
   335  3.6722450e+03  1.9514418e+01  4.4261755e-02  1.3594731e+02
   336  3.6341651e+03  1.9733889e+01  4.4420873e-02  1.3471243e+02
   337  3.5964312e+03  1.9951707e+01  4.4579397e-02  1.3343608e+02
   338  3.5590523e+03  2.0167780e+01  4.4737347e-02  1.3211725e+02
   339  3.5220474e+03  2.0382016e+01  4.4894746e-02  1.3075794e+02
   340  3.4854254e+03  2.0594421e+01  4.5051615e-02  1.2935816e+02
   341  3.4491854e+03  2.0804704e+01  4.5207976e-02  1.2791789e+02
   342  3.4133363e+03  2.1012872e+01  4.5363853e-02  1.2643713e+02
   343  3.3778872e+03  2.1218831e+01  4.5519271e-02  1.2491789e+02
   344  3.3428369e+03  2.1422391e+01  4.5674252e-02  1.2335915e+02
   345  3.3081944e+03  2.1623558e+01  4.5828822e-02  1.2176192e+02
   346  3.2739688e+03  2.1822141e+01  4.5983007e-02  1.2012618e+02
   347  3.2401589e+03  2.2018146e+01  4.6136831e-02  1.1845294e+02
   348  3.2067738e+03  2.2211282e+01  4.6290322e-02  1.1674218e+02
   349  3.1738325e+03  2.2401755e+01  4.6443504e-02  1.1499691e+02
   350  3.1413338e+03  2.2589375e+01  4.6596406e-02  1.1321611e+02
   351  3.1092969e+03  2.2774148e+01  4.6749054e-02  1.1140177e+02
   352  3.0777313e+03  2.2955982e+01  4.6901476e-02  1.0955485e+02
